answer;solution;correct;image;lociId;lociName;blocIndex;lociIndex;imageIndex;feat;nbRow;nbCol;memoTime;restiTime;sepSign;timestamp
22;22;True;A;4f26f261-cb67-11e4-945e-08002700d09f;bouteilles de gaz;3;10;31;d;20;40;300;900;|;1426703158.0
22;22;True;Q;4f26f261-cb67-11e4-945e-08002700d09f;bouteilles de gaz;3;10;32;d;20;40;300;900;|;1426703158.0
27;27;True;P;4f278ea1-cb67-11e4-888b-08002700d09f;haut de la montée voiture;4;11;33;d;20;40;300;900;|;1426703158.0
90;70;False;A;4f278ea1-cb67-11e4-888b-08002700d09f;haut de la montée voiture;4;11;34;d;20;40;300;900;|;1426703158.0
77;77;True;Q;4f278ea1-cb67-11e4-888b-08002700d09f;haut de la montée voiture;4;11;35;d;20;40;300;900;|;1426703158.0
43;43;True;P;4f282ade-cb67-11e4-a76a-08002700d09f;montée HLM;5;12;36;d;20;40;300;900;|;1426703158.0
14;14;True;A;4f282ade-cb67-11e4-a76a-08002700d09f;montée HLM;5;12;37;d;20;40;300;900;|;1426703158.0
30;30;True;Q;4f282ade-cb67-11e4-a76a-08002700d09f;montée HLM;5;12;38;d;20;40;300;900;|;1426703158.0
83;63;False;A;4f282ade-cb67-11e4-a76a-08002700d09f;montée HLM;5;12;39;d;20;40;300;900;|;1426703158.0
94;94;True;Q;4f282ade-cb67-11e4-a76a-08002700d09f;montée HLM;5;12;40;d;20;40;300;900;|;1426703158.0
85;85;True;P;4f28a00f-cb67-11e4-8a8a-08002700d09f;rond point gauche;0;13;41;d;20;40;300;900;|;1426703158.0
59;59;True;A;4f28a00f-cb67-11e4-8a8a-08002700d09f;rond point gauche;0;13;42;d;20;40;300;900;|;1426703158.0
46;46;True;Q;4f28a00f-cb67-11e4-8a8a-08002700d09f;rond point gauche;0;13;43;d;20;40;300;900;|;1426703158.0
89;91;False;P;4f293c4f-cb67-11e4-9f45-08002700d09f;jardin public entrée;1;14;44;d;20;40;300;900;|;1426703158.0
37;93;False;A;4f293c4f-cb67-11e4-9f45-08002700d09f;jardin public entrée;1;14;45;d;20;40;300;900;|;1426703158.0
91;25;False;Q;4f293c4f-cb67-11e4-9f45-08002700d09f;jardin public entrée;1;14;46;d;20;40;300;900;|;1426703158.0
14;14;True;P;4f29ffa1-cb67-11e4-a8f0-08002700d09f;jardin public banc du milieu;2;15;47;d;20;40;300;900;|;1426703158.0
26;26;True;A;4f29ffa1-cb67-11e4-a8f0-08002700d09f;jardin public banc du milieu;2;15;48;d;20;40;300;900;|;1426703158.0
04;04;True;Q;4f29ffa1-cb67-11e4-a8f0-08002700d09f;jardin public banc du milieu;2;15;49;d;20;40;300;900;|;1426703158.0
65;65;True;P;4f2ac2f0-cb67-11e4-98a5-08002700d09f;jardin public basketball;3;16;50;d;20;40;300;900;|;1426703158.0
60;60;True;A;4f2ac2f0-cb67-11e4-98a5-08002700d09f;jardin public basketball;3;16;51;d;20;40;300;900;|;1426703158.0
27;27;True;Q;4f2ac2f0-cb67-11e4-98a5-08002700d09f;jardin public basketball;3;16;52;d;20;40;300;900;|;1426703158.0
84;84;True;P;4f2b381e-cb67-11e4-b5db-08002700d09f;jardin public scene;4;17;53;d;20;40;300;900;|;1426703158.0
32;32;True;A;4f2b381e-cb67-11e4-b5db-08002700d09f;jardin public scene;4;17;54;d;20;40;300;900;|;1426703158.0
29;29;True;Q;4f2b381e-cb67-11e4-b5db-08002700d09f;jardin public scene;4;17;55;d;20;40;300;900;|;1426703158.0
02;02;True;P;4f2bd45e-cb67-11e4-af82-08002700d09f;haut de la rue;5;18;56;d;20;40;300;900;|;1426703158.0
37;37;True;A;4f2bd45e-cb67-11e4-af82-08002700d09f;haut de la rue;5;18;57;d;20;40;300;900;|;1426703158.0
02;02;True;Q;4f2bd45e-cb67-11e4-af82-08002700d09f;haut de la rue;5;18;58;d;20;40;300;900;|;1426703158.0
73;73;True;A;4f2bd45e-cb67-11e4-af82-08002700d09f;haut de la rue;5;18;59;d;20;40;300;900;|;1426703158.0
20;20;True;Q;4f2bd45e-cb67-11e4-af82-08002700d09f;haut de la rue;5;18;60;d;20;40;300;900;|;1426703158.0
56;56;True;P;4f2c70a1-cb67-11e4-aac8-08002700d09f;bibli des familles;0;19;61;d;20;40;300;900;|;1426703158.0
37;37;True;A;4f2c70a1-cb67-11e4-aac8-08002700d09f;bibli des familles;0;19;62;d;20;40;300;900;|;1426703158.0
25;25;True;Q;4f2c70a1-cb67-11e4-aac8-08002700d09f;bibli des familles;0;19;63;d;20;40;300;900;|;1426703158.0
45;45;True;P;4f2d0ce1-cb67-11e4-b3e5-08002700d09f;devant le centre de ressource;1;20;64;d;20;40;300;900;|;1426703158.0
43;43;True;A;4f2d0ce1-cb67-11e4-b3e5-08002700d09f;devant le centre de ressource;1;20;65;d;20;40;300;900;|;1426703158.0
65;65;True;Q;4f2d0ce1-cb67-11e4-b3e5-08002700d09f;devant le centre de ressource;1;20;66;d;20;40;300;900;|;1426703158.0
50;50;True;P;4f2d8211-cb67-11e4-b543-08002700d09f;centre de ressource lieu ordinateur;2;21;67;d;20;40;300;900;|;1426703158.0
11;11;True;A;4f2d8211-cb67-11e4-b543-08002700d09f;centre de ressource lieu ordinateur;2;21;68;d;20;40;300;900;|;1426703158.0
70;70;True;Q;4f2d8211-cb67-11e4-b543-08002700d09f;centre de ressource lieu ordinateur;2;21;69;d;20;40;300;900;|;1426703158.0
73;73;True;P;4f2e1e4f-cb67-11e4-8281-08002700d09f;centre de ressour foutoir de droite;3;22;70;d;20;40;300;900;|;1426703158.0
92;92;True;A;4f2e1e4f-cb67-11e4-8281-08002700d09f;centre de ressour foutoir de droite;3;22;71;d;20;40;300;900;|;1426703158.0
46;46;True;Q;4f2e1e4f-cb67-11e4-8281-08002700d09f;centre de ressour foutoir de droite;3;22;72;d;20;40;300;900;|;1426703158.0
